Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,CHE,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,6882.959,5984.544,6255.902,7414.674,5177.804,4429.736,3567.991,2750.25,2412.886,2317.544,2156.196,1463.133,1301.785,1235.779,1045.095,773.737,737.067,946.086,883.747,891.081,1287.117,1917.841,1870.17,1954.511,2002.182,2002.182,1719.823,1609.813,1386.126,1378.792,1356.79,1151.438,810.407,671.061,682.062,722.399,546.383,421.705,348.365,359.366,513.38,546.383,498.712,509.713,487.711,553.717,550.05,649.059,590.387,546.383,550.05,513.38,465.709,476.71,546.383,502.379,443.707,,,,,
Channel Islands,CHI,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,4514.077,4444.404,4774.434,4605.752,4407.734,4363.73,4338.061,4558.081,4690.093,4734.097,4767.1,5155.802,4360.063,4675.425,4492.075,3571.658,3648.665,3854.017,3920.023,4250.053,5122.799,4935.782,3296.633,4044.701,5229.142,5060.46,5302.482,5236.476,7194.654,9893.566,10714.974,8635.785,7462.345,7634.694,9369.185,10318.938,14425.978,18621.026,17784.95,18533.018,14253.629,9270.176,9387.52,9251.841,10289.602,10260.266,12548.474,13017.85,16747.189,13443.222,16538.17,20865.23,23494.469,25415.977,24400.218,27183.471,27018.456,,,,,
China,CHN,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,748988.417,522903.199,412262.475,406457.614,401899.533,433347.725,470153.404,383912.898,413058.214,501586.928,666411.244,737030.33,771349.783,784385.968,776736.606,907380.815,911132.156,999426.182,1118361.66,1148489.732,1123583.468,1125923.014,1249878.615,1322925.255,1455388.296,1585808.818,1658745.448,1771718.384,1894247.522,1921808.694,1978302.496,2051598.492,2116449.387,2230570.094,2382537.908,2571857.784,2662579.364,2611692.405,2446772.747,2380440.384,2398390.349,2430843.299,2781045.466,3321997.639,3838428.583,4428012.51,4909390.601,4978938.923,5734164.907,5613696.623,6574171.931,7315771.343,7470918.446,7499587.052,7431146.164,7272926.115,6951652.911,,,,,
Cote d'Ivoire,CIV,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Cameroon,CMR,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,3.667,3.667,0,0,0,0,0,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,0,0,0,0,0,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"Congo, Dem. Rep.",COD,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,1041.428,1059.763,839.743,817.741,938.752,1180.774,909.416,949.753,740.734,887.414,788.405,876.413,850.744,828.742,832.409,671.061,876.413,887.414,843.41,748.068,843.41,861.745,825.075,806.74,825.075,821.408,839.743,850.744,931.418,843.41,891.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"Congo, Rep.",COG,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Colombia,COL,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,6684.941,7198.321,7711.701,8221.414,7711.701,7198.321,6424.584,7964.724,7964.724,8522.108,5812.195,6505.258,6695.942,7774.04,8316.756,8786.132,9226.172,9420.523,9904.567,11265.024,10307.937,10670.97,10997.333,12148.771,12005.758,12218.444,12049.762,12475.134,12559.475,12977.513,13894.263,12423.796,13677.91,14216.959,13622.905,14147.286,12522.805,12299.118,11697.73,9691.881,10234.597,10329.939,9273.843,10414.28,7286.329,10241.931,9358.184,8060.066,10777.313,11811.407,13483.559,13795.254,11551.05,13131.527,14623.996,19160.075,19471.77,,,,,
Comoros,COM,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
